rank,anomaly_score,true_status
1,0.7662211768264082,gc_shift
2,0.7558063327865553,homopolymer
3,0.7541036927411335,homopolymer
4,0.7541036927411335,homopolymer
5,0.7541036927411335,homopolymer
6,0.7490187517597234,homopolymer
7,0.7465663016242755,homopolymer
8,0.740305917123931,homopolymer
9,0.7401820755487337,homopolymer
10,0.7348926213562473,homopolymer
11,0.7273345383130516,gc_shift
12,0.723309497737845,clean
13,0.7192222089471996,homopolymer
14,0.7180296278900499,gc_shift
15,0.7144592833621577,gc_shift
16,0.7090471055692413,clean
17,0.6855220053780305,clean
18,0.6768732158497975,gc_shift
19,0.6708614329167547,clean
20,0.6694121376266688,clean
21,0.6637238443183409,gc_shift
22,0.6511437562844621,clean
23,0.6501274386428993,clean
24,0.649924504581171,clean
25,0.6422611083950965,gc_shift
26,0.6363533656781937,adapter
27,0.6337248358022451,clean
28,0.6329457400004612,clean
29,0.631003158600222,clean
30,0.6266094253565228,adapter
31,0.6210189241114504,clean
32,0.6201164117032204,clean
33,0.6195048153266062,clean
34,0.616501204804992,clean
35,0.610741781700104,adapter
36,0.6101970644525616,clean
37,0.6097081173872568,clean
38,0.609339747891684,clean
39,0.6089763572519286,adapter
40,0.6077535311858041,clean
41,0.6062548970558592,clean
42,0.605320110247834,clean
43,0.6031335779274951,clean
44,0.602701246686286,clean
45,0.6009132392066239,clean
46,0.6007091933791784,gc_shift
47,0.6002122610008374,clean
48,0.5988108898663757,clean
49,0.5978428794426454,adapter
50,0.597746552401576,clean
51,0.5976091160150971,clean
52,0.5935185574686204,adapter
53,0.592720712474463,adapter
54,0.5923202921733371,clean
55,0.5920113968024682,clean
56,0.5903173372957643,clean
57,0.5902458886381089,clean
58,0.5868792344120024,clean
59,0.5852021090511731,clean
60,0.5838620983874045,adapter
61,0.5829794533487802,clean
62,0.5822714067837028,clean
